Cj	qSK	LSC-2	CE	LSC-1	Mel	CF	Ves	MC	SK	IC	nm-cSC	LE	EC	TSK	hnESC	average
CCNL2	548154	300535	367985	382368	262262	28881	244393	44346	13248	192290	25165	3494	263851	85654	66282	251156	192504
MRPL20-AS1	73188	27703	38666	64707	22805	7404	39477	4247	1013	21703	2830	669	39963	6203	8286	0	22429
MRPL20	1892234	656734	766682	2261243	339058	83249	587688	64265	41971	555182	36909	6594	1293587	102321	188815	1776634	665823
AL391244.2	3049	2156	1817	3124	1256	180	4110	319	66	575	287	0	594	301	97	0	1121
ANKRD65	97897	18659	7195	14328	38484	2868	16005	5502	728	4562	488	1289	27123	1304	1811	5976	15264
AL391244.1	311	0	0	0	68	0	0	0	0	0	0	0	0	0	0	0	23
LINC01770	2610	0	0	91	628	0	0	275	0	0	0	118	201	0	0	280	262
VWA1	206042	23413	17930	66144	88723	13373	19238	53205	1933	5323	1346	17381	79725	2327	2080	261751	53746
ATAD3C	34967	22073	13593	76761	10936	2129	4094	2209	158	6828	909	167	33823	8739	2357	10523	14392
ATAD3B	97604	45194	63747	80109	46144	7079	38355	6281	1596	41349	5659	622	76383	13638	16909	1119346	103751
ATAD3A	105183	52955	65379	112845	42343	15326	57704	6728	4121	41934	2715	636	123966	20896	32659	321375	62923
TMEM240	2003	14134	1986	1666	8560	3751	26120	836	4238	4885	0	277	1849	6966	1150	5874	5269
SSU72	1404354	408542	651930	1111764	487247	121751	564976	47232	19927	446646	36289	5324	1445948	70060	144873	1958319	557824
AL645728.1	25877	19053	16351	23644	16320	6290	12585	1506	764	13192	4023	0	30900	10747	6044	30868	13635
FNDC10	52668	3793	19633	37441	8266	11182	6696	958	192	0	2100	0	18939	7132	0	214730	23983
AL691432.4	5040	0	1059	3588	1661	422	21	86	0	0	0	0	1832	0	0	0	857
AL691432.2	76681	17695	31723	59434	34399	10324	18937	3897	1471	7948	1921	1069	77426	7762	3142	12200	22877
MIB2	1168381	108265	762797	1314663	349110	21037	120590	14605	8592	58509	12849	1694	1027454	29755	20592	226333	327827
MMP23B	8078	7597	6517	6209	4868	445	30981	107	318	2442	1382	0	5917	370	0	32819	6753
CDK11B	161575	158877	116251	159540	81927	11774	78261	11271	5477	96318	10509	624	91866	18967	44658	89270	71073
FO704657.1	4932	3711	2493	10763	674	175	1120	179	0	2223	323	0	5582	1558	0	525	2141
SLC35E2B	51045	48658	31522	40027	24881	7471	37272	3392	2016	11615	4522	1708	24538	11166	1940	20122	20118
CDK11A	161885	218650	135979	158551	90032	15198	80039	19204	4195	164256	12593	1427	102963	41767	59117	33513	81211
SLC35E2A	19371	30497	24939	20772	11887	3612	20210	2282	1605	5389	1222	192	15463	6813	638	5717	10663
NADK	160640	62128	62954	132583	36379	9226	71575	9562	5495	36398	5655	837	98706	7616	11917	148219	53743
GNB1	888896	535799	390671	786880	274216	93862	458863	83091	23217	256083	50448	8761	595320	57334	100425	524423	320518
AL109917.1	4720	671	3928	7948	2765	143	464	121	0	0	0	0	6730	704	0	629	1801
CALML6	2000	768	557	679	3867	82	282	0	115	0	317	0	585	807	0	1673	733
TMEM52	14183	98797	5271	14777	19253	917	22582	630	41	33064	548	0	23651	1572	11080	79921	20393
CFAP74	2692	517	4332	3307	117	358	367	114	0	0	307	0	1958	0	0	7558	1352
AL391845.2	184	0	0	10	1915	0	0	575	0	0	0	0	30	0	0	990	231
GABRD	1885	304	1517	2168	7974	456	210	559	627	0	0	0	3305	0	0	24462	2717
PRKCZ	148223	8392	112349	154647	47918	8866	4410	5713	157	3192	3115	452	140868	18301	462	79599	46042
AL590822.2	6371	902	3906	6721	2190	1274	984	427	118	0	485	187	1770	1195	0	1171	1731
PRKCZ-AS1	1640	2757	1646	1052	1042	242	1460	0	222	541	0	0	849	616	0	581	790
FAAP20	634440	367299	415842	536944	231062	70260	326028	34393	23056	267715	25166	4887	1030162	139710	77431	278638	278939
SKI	170883	184310	114622	130653	117688	12189	175703	28775	15352	39592	18047	4628	93015	49089	11051	26300	74494
AL590822.3	1407	3038	1542	1182	740	0	2213	538	26	548	100	0	1757	328	0	0	839
MORN1	21682	13386	18075	20991	8193	1696	8240	913	739	5080	437	319	22456	5219	3222	10573	8826
AL513477.2	3319	1697	4021	2514	2187	384	2488	506	0	0	225	0	1464	0	0	0	1175
RER1	2275711	388529	814758	2538978	367137	76391	612827	54167	24986	214350	34093	7627	1477696	44353	131229	809916	617047
PEX10	132599	52976	84978	115669	52061	18787	49544	6698	2473	23784	2420	1850	220207	13688	13353	70048	53821
PLCH2	211033	3748	127931	185135	53143	2845	2354	1823	562	1458	3295	90	127192	261	0	0	45054
PANK4	81623	28446	66336	102362	29858	6995	33654	2979	2923	13281	2153	1958	33949	16245	4703	12420	27493
HES5	1442531	15434	118333	2469091	15159	9557	16430	17034	7916	3808	7349	243	47543	2443	207	1530	260913
AL139246.5	333385	14875	8966	905103	5589	54159	11051	8588	4388	5529	20841	0	24989	9770	2594	11558	88837
TNFRSF14-AS1	24251	1198	1851	5943	1623	1342	3415	3448	299	180	3283	0	5023	4704	367	51	3561
TNFRSF14	249661	79408	115718	136355	69562	157923	94114	39042	6652	27516	30365	2935	99868	46155	19003	218	73406
AL139246.3	2074	653	157	467	463	86	1370	838	187	676	0	0	0	3176	166	0	644
PRXL2B	86007	53453	41299	92952	17436	7253	24062	8706	1329	22393	3877	1116	44253	18641	6515	0	26831
MMEL1	50322	3780	4228	18796	1941	256	1343	748	262	211	127	61	10737	2334	184	676	6000
TTC34	2528	4058	3386	1344	1708	23	5501	395	0	75	764	0	927	2685	193	468	1503
PRDM16-DT	851	0	480	161	1764	0	6203	471	712	0	0	541	2361	0	327	0	867
PRDM16	2576	471	1566	84	4176	60	5444	737	399	0	129	1121	3629	0	0	456	1303
AL354743.2	108	0	0	195	11	0	219	26	0	0	0	0	0	0	0	0	35
ARHGEF16	215256	1673	82493	187255	26090	1318	1905	1497	336	1031	1732	443	87964	27914	135	91642	45543
AL512413.1	4363	0	1456	1533	343	0	74	0	0	0	0	0	697	1420	0	171	628
MEGF6	77267	240188	77751	59834	40446	6812	81743	14004	756	30902	2565	2152	23714	10725	8872	3909	42603
AL513320.1	1360	1604	1287	1745	237	0	1194	0	0	0	953	0	0	0	0	305	543
TPRG1L	283177	209970	237092	401495	94117	24088	100182	17070	5244	165225	7663	1300	179023	49577	70168	43077	118029
WRAP73	128412	61554	107352	158097	43583	8497	77077	6920	2625	54225	4816	1645	79095	14957	15967	67822	52040
TP73	26080	1108	84059	33395	152146	1583	1460	59	154	0	128	244	38849	0	123	2689	21380
CCDC27	152	103	0	324	0	0	0	0	0	0	0	264	0	0	0	74	57
SMIM1	71767	34280	60270	54083	26494	14892	26619	628	298	15201	957	0	103135	29424	2709	15063	28489
LRRC47	192618	83015	129568	172196	100599	22320	86732	8939	3388	55324	5884	1511	223299	19292	18395	333116	91012
AL365330.1	131	1111	460	247	337	241	509	0	0	0	129	0	269	1158	0	53	290
CEP104	128909	63667	105574	125156	61407	12169	78015	7901	3362	44656	6701	839	82574	12587	20646	59588	50859
DFFB	11768	11354	13768	11591	11035	1398	11333	880	709	5591	1037	0	5343	1499	1476	17320	6631
C1orf174	163796	89737	143438	189482	84921	10512	75243	9957	2760	116618	7668	1521	134244	14462	21884	165809	77003
LINC01134	2211	515	2773	3844	459	0	1627	0	0	308	174	0	5179	233	0	454	1111
AL805961.1	715	296	260	761	127	0	248	0	0	0	0	0	0	0	0	0	150
AJAP1	32527	55	26787	5370	21534	349	1042	761	2006	165	89	7017	25247	89791	159	824	13358
Z98886.1	1180	66	232	915	137	15	626	0	0	0	258	0	469	75	0	0	248
NPHP4	17707	19251	17218	29910	8908	4266	15847	3363	916	7283	1193	415	7545	23440	2469	14294	10877
KCNAB2	10165	14281	24429	11542	11770	144712	20332	1593	779	6789	18160	472	16600	32100	3890	5300	20182
CHD5	291	0	82	0	722	0	659	0	249	345	0	0	0	317	84	3223	373
RPL22	14702309	6850516	7968664	11425605	8010592	1361048	7633151	1168040	526444	5458336	581882	67920	15985459	844026	2731899	7136759	5778291
AL031847.1	6624	101	3540	5178	424	11	517	265	0	0	46	0	6644	82	0	868	1519
RNF207	83880	5380	68937	91100	24050	1455	15411	994	432	249	3042	868	30785	5567	1542	27363	22566
ICMT	205209	103912	122308	330719	29497	8850	111489	17218	6923	40622	4909	783	126628	22099	21058	222751	85936
LINC00337	1839	450	570	6085	375	0	359	0	135	0	148	0	1132	172	0	30665	2621
GPR153	67903	58987	44009	99317	8717	5465	37682	379	1270	21940	726	692	51605	0	3559	33600	27241
ACOT7	126230	69855	79857	124577	28842	23049	59861	6413	1474	32447	4493	2257	125505	11974	7955	217263	57628
AL031848.2	22088	3768	10512	35537	3466	1028	2088	676	390	1380	552	196	21347	444	692	1620	6611
HES2	622898	6884	199482	703903	36138	4776	5202	4555	399	3915	3278	119	301449	642	560	53624	121739
ESPN	73878	807	23696	55507	6330	911	2335	65	0	67	754	3133	38514	356	149	18257	14047
TNFRSF25	95848	33535	78180	51247	37216	1014	9132	5652	0	11860	6089	321	67686	55884	1424	53377	31779
PLEKHG5	106421	28345	82516	118188	27637	1640	9524	4328	50	8316	1968	0	96079	39827	1308	27148	34581
NOL9	69080	68671	70981	70296	49385	5781	56830	11814	3525	53237	5433	853	133811	15068	22536	92727	45627
TAS1R1	500	54698	184	727	171	0	1710	0	104	11623	506	345	525	761	580	941	4586
ZBTB48	110211	37652	62693	117525	41938	3525	27436	5424	2692	18190	5353	768	38175	15875	4483	30286	32639
KLHL21	635518	248307	498740	572214	202664	47507	196362	16380	5661	90817	26339	5017	1408250	37292	80724	34563	256647
PHF13	190303	66818	168774	212108	108018	10696	52113	8020	3750	53351	3921	1765	147580	59863	13232	29569	70617
THAP3	101386	74594	71522	105058	42297	9968	95456	5282	1847	70448	2646	681	70223	19061	25183	48659	46519
DNAJC11	84975	40397	47220	83652	29578	6382	42665	7816	1366	22558	5424	379	44013	19253	13015	215474	41510
LINC01672	46	100	0	322	34	0	96	0	0	0	0	0	0	2533	0	180	207
AL591163.1	1374	568	60	2238	248	43	105	0	0	0	196	0	0	0	0	64	306
CAMTA1-DT	11982	1559	3078	10611	2032	772	667	746	242	453	329	283	6004	1444	0	954	2572
CAMTA1	1641981	539466	847515	1595159	585973	138412	489562	69731	37105	720454	31353	13544	2123132	70163	135073	655179	605863
CAMTA1-IT1	1524	306	488	2090	518	0	179	186	0	0	144	0	2366	421	0	0	514
VAMP3	711154	138286	392811	639570	251300	78512	242002	63422	23660	104578	23577	5914	932926	22420	92011	109576	239482
Z98884.2	1161	80	874	2341	125	102	437	0	0	0	0	0	400	0	62	0	349
PER3	284305	243289	382980	335143	108092	14766	77869	12784	4487	107243	9549	5153	236575	64343	42617	19267	121779
Z98884.1	0	475	0	0	60	0	178	0	0	0	0	0	0	0	0	1799	157
UTS2	196	519	344	487	113	0	0	0	0	557	376	0	541	0	0	0	196
TNFRSF9	785	5504	110	165	559	0	2420	260	0	3222	7524	0	266	339	815	0	1373
PARK7	2759707	1558726	1926274	2576257	921100	251914	1584721	136233	78277	1452683	81249	13953	2720467	236889	402847	1718457	1151235
AL034417.4	4951	11210	2704	4314	2032	639	2295	109	67	2942	211	0	2202	525	102	2149	2278
AL034417.3	23180	29425	3602	9338	9464	1555	10428	385	796	4735	312	289	8783	2794	804	578	6654
ERRFI1	763607	782505	606761	860483	438430	16698	258112	25471	9881	739816	12261	8162	1826717	117448	54391	56022	411048
AL034417.2	254	2629	179	247	219	0	2196	212	623	420	201	0	0	4794	0	571	784
SLC45A1	1657	10492	4972	2952	3152	11	12924	752	1439	3381	308	775	4969	4127	409	338	3291
RERE	440521	341793	429945	442315	151879	13156	161684	40297	11083	191610	16206	3599	262283	110435	31072	109360	172327
RERE-AS1	2335	3393	516	1035	605	0	931	162	0	424	501	0	1323	1075	224	0	783
ENO1	14505843	11855422	17771785	26659032	2228621	254071	2786666	273908	76811	4640441	247962	18907	18285938	5410586	852455	1598403	6716678
ENO1-AS1	10225	5602	8543	15612	6860	20	1998	899	395	1169	434	191	9919	1717	0	3083	4167
CA6	38917	1541	59559	397746	2104	206	0	291	236	1536	473	119	11850	0	0	491	32192
SLC2A5	29317	1094	91919	14048	13976	996	5997	546	329	751	11485	0	73304	418	2193	3140	15595
GPR157	112818	32054	42084	104450	22645	789	27472	3648	1313	13759	4133	811	44188	9586	4963	6247	26935
MIR34AHG	29102	10213	5114	10918	2330	1091	42561	1282	1077	10354	2497	272	1266	4765	2477	15298	8789
LNCTAM34A	37078	3703	23937	18412	9885	1851	23254	185	330	2652	392	167	25440	4439	1434	0	9572
H6PD	61068	67435	31105	28109	50478	7441	189649	15943	3824	8644	2380	1597	24072	8257	8323	8002	32270
SPSB1	311951	160679	143450	223255	95358	26803	167706	23764	3530	251358	5067	648	798517	8707	52830	15628	143078
LINC02606	1274	5463	1354	2929	495	740	3608	511	500	0	0	0	289	0	0	0	1073
SLC25A33	400918	307708	346317	298646	284601	56127	124510	15124	10714	282161	27142	8162	1068430	54314	87256	246852	226186
TMEM201	24386	25114	29999	18063	16938	4954	19520	2044	1572	8458	882	747	33259	18078	3561	29121	14794
PIK3CD	16936	40044	43075	36583	9500	8974	38846	2206	511	27301	7971	231	73300	24831	3532	7621	21341
PIK3CD-AS2	33419	70403	72355	66658	79282	37523	55204	1635	1369	38046	640	816	84248	12510	11660	19344	36570
CLSTN1	954771	356462	918093	972118	606987	50669	280431	32784	9975	85808	19085	7225	889930	52730	33132	114227	336527
CTNNBIP1	502992	81412	364347	746598	210642	27566	69274	11025	2631	43001	9159	1282	814652	27949	14198	186421	194572
AL357140.1	201	2249	0	107	0	23	0	0	0	1488	0	0	0	0	0	0	254
LZIC	343917	175033	231267	466275	127545	25010	129921	18833	8115	181395	9583	4496	299512	38236	54703	149181	141439
AL357140.2	4864	1221	1839	4925	925	564	464	241	0	0	71	0	3966	719	0	0	1237
NMNAT1	49504	21763	23137	53550	13581	4124	27813	3433	1298	14893	583	563	16544	4037	6796	14835	16028
RBP7	14247	1648	2757	4291	19894	29213	3159	86184	3080	610	834	1288	30634	28474	1180	45615	17069
UBE4B	145657	61599	120795	129121	77737	16478	75203	11923	2761	23615	6198	3723	106753	13267	11809	59897	54159
KIF1B	161806	225048	110667	132535	86445	30999	189754	20991	9044	121637	15054	7709	119529	50828	51680	88507	88890
AL139424.3	3025	3183	2775	2800	1710	843	1543	946	145	1831	0	156	4589	63	0	707	1520
AL139424.2	2745	2525	1184	2374	1967	180	1626	133	0	632	156	0	2462	934	289	468	1105
PGD	1321778	113355	565697	1554446	133876	25225	234381	15919	4586	64860	21390	2189	865729	47877	51157	458284	342547
CENPS	91583	79682	106489	102319	32417	2065	36008	3388	1240	60450	2592	187	126050	11814	12432	98477	47950
CORT	11746	7463	11124	12176	3735	11	5147	406	0	4172	357	0	9642	1297	1484	1272	4377
DFFA	238512	77435	161876	217604	117705	16784	120934	19122	6015	93948	4739	1546	255391	16093	25400	474490	115475
AL354956.1	426	868	177	464	401	0	346	0	0	0	0	0	0	0	0	585	204
PEX14	100503	41266	59871	87942	41573	6863	34790	4296	1666	32745	3364	192	59655	4478	8101	39509	32926
AL139423.2	584	110	81	0	357	0	0	0	0	163	0	0	0	0	0	0	81
CASZ1	175495	3793	101093	115956	97993	2384	6698	6358	950	2516	3086	379	55139	2945	959	3206	36184
AL139423.1	1275	237	401	632	511	109	0	0	0	0	0	0	289	0	0	0	216
TARDBP	532701	238255	433877	543417	316880	35684	182636	32827	13674	157435	23494	4983	508225	52807	49386	203199	208092
AL109811.2	26611	28350	19711	18164	26852	4842	24421	3194	852	10528	1816	431	52096	1774	4113	6261	14376
SRM	313145	500573	223990	303586	82949	58631	719851	29283	13325	426022	13296	5189	671646	72002	193896	1826390	340861
EXOSC10	144042	91105	157573	174502	56868	15179	92311	11567	3969	43239	8800	2169	121017	27751	14439	96254	66299
AL109811.1	831	777	706	1293	661	254	854	1144	199	0	41	0	0	0	0	1203	497
EXOSC10-AS1	3814	4351	1565	4128	419	543	2911	37	0	1751	0	0	4540	414	550	0	1564
MTOR	73593	73746	50967	94074	17916	4879	52590	7329	1654	26740	5342	897	34533	23932	16304	141503	39125
MTOR-AS1	150	7478	263	118	0	0	572	0	0	2794	0	0	325	163	103	0	748
ANGPTL7	162861	41432105	1025090	700554	39512	22459	2407125	54534	13983	7190581	65392	3196	148627	34708	3632	0	3331522
UBIAD1	82759	52054	43803	79394	40404	11097	61106	5689	3920	56643	3699	439	125663	7455	22383	72807	41832
AL031291.1	2826	0	3103	2444	5612	8	0	0	0	0	0	0	3517	0	0	80	1099
DISP3	87	79	0	0	223	0	532	0	0	0	0	0	0	0	0	2597	219
AL031731.1	1519	618	1190	1376	1708	0	1792	28	0	0	30	288	0	1187	419	421	661
FBXO2	343091	118657	191590	298091	260106	10198	216045	6208	676	50373	5206	439	340105	95379	70943	76966	130255
FBXO44	101762	43420	102147	101855	93237	13848	54254	3286	1205	20595	3941	0	82664	20706	5344	36188	42778
FBXO6	82151	15590	17983	69555	16799	10291	24933	2602	294	15044	2157	815	44821	3548	6068	57197	23116
MAD2L2	127669	83395	101314	95861	91240	37474	148256	20021	5476	100335	8058	1249	232351	9119	56594	374682	93318
DRAXIN	868	881	288	819	398	567	1429	183	0	0	964	0	169	0	0	17815	1524
AGTRAP	292479	64112	170094	239010	98805	37453	205660	31000	3972	43391	11504	3656	315321	11036	38401	330425	118520
C1orf167	20250	1976	11440	13649	2285	226	6531	1478	1007	354	646	441	10880	1011	576	13311	5379
MTHFR	130383	36081	48691	79319	50600	6770	52352	14392	7956	8396	13781	3794	57093	54528	3961	40989	38068
CLCN6	41515	43305	38206	52366	20170	7163	38658	11046	3920	15808	4781	2904	16645	25802	8784	23274	22147
AL021155.5	66400	50984	62487	37610	27142	5820	18638	8556	2511	20255	23826	1794	38336	83682	3879	0	28245
KIAA2013	256850	101371	94671	245226	47159	18491	153867	13913	5553	27041	11561	759	113470	20917	14789	197416	82691
PLOD1	37348	333254	77833	53981	32162	15878	334177	9352	6514	44578	3433	608	102431	63432	29682	89811	77155
AL096840.2	9232	986	15887	5569	3160	288	464	716	26	0	148	512	20320	1862	0	0	3698
MFN2	222048	89211	197790	272515	104578	12688	70975	12948	4775	33609	7156	418	187979	44596	14542	109744	86598
MIIP	73656	48893	58322	105947	31522	10626	48161	5714	4808	42135	6170	4597	110936	7750	18264	577309	72176
TNFRSF8	0	0	14	0	19	0	215	775	0	0	542	167	0	0	0	59850	3849
TNFRSF1B	8705	7821	1375	7497	1621	459	147234	36309	4497	8412	89438	906	1627	0	44425	437	22548
VPS13D	271443	111584	195992	261901	114423	10385	91010	18854	5604	38301	10493	1822	93907	31088	16462	35763	81814
LINC02766	0	421	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26
DHRS3	1084903	126972	590085	595143	431563	9748	133229	9666	3427	49501	20258	7053	952166	20581	16885	34325	255344
AC254633.1	7035	6433	3864	5403	2991	17	1973	28	0	1324	719	406	4504	2684	72	190	2353
LRRC38	190	1666	0	177	7	0	5096	387	0	4588	0	0	1063	450	568	1039	952
PDPN	30377	265035	165057	11641	57795	2480	1224703	23548	857	207062	3553	1381	111526	47279	157347	448924	172410
PRDM2	736628	274003	449013	723431	273599	31712	196118	29871	7661	208669	37050	4623	437659	91528	86173	48874	227288
KAZN	660268	35985	253329	460973	173196	60968	65518	10947	4731	35291	5054	1035	193519	49368	6568	128867	134101
AL357873.1	2210	0	14265	1358	7334	761	492	0	0	0	0	0	25613	0	0	0	3252
AL031293.1	60674	1025	31696	37892	15327	436	2466	143	0	0	229	0	8188	360	0	0	9902
TMEM51-AS1	34036	6456	9363	19913	6018	684	2453	167	362	1781	1156	0	11735	257	0	28430	7676
TMEM51	265405	36822	91430	202889	53924	30629	36394	4318	3697	51312	8153	934	374061	0	6098	88660	78420
FHAD1	1865	14545	2307	3119	626	180	10106	391	1238	12849	1839	0	2683	2326	1422	716	3513
AL031283.2	659	189	1037	799	0	0	154	91	58	0	368	0	0	667	0	147	260
AL031283.1	1237	348	578	394	280	0	824	553	0	0	305	0	700	5666	212	202	706
EFHD2	1309923	131553	726178	1939518	254106	29024	190550	48284	7561	162216	82939	1838	1693856	32822	79756	533428	451472
CTRC	7303	2289	2540	2327	3194	130	777	298	0	3092	497	0	20198	383	467	0	2718
CELA2A	911	0	787	137	712	0	0	0	0	0	0	0	3447	0	0	0	374
CASP9	69185	28115	50903	107069	20370	2534	15314	3964	804	11686	3183	1479	49214	7892	1641	29861	25201
DNAJC16	140769	43113	87066	151215	36131	4426	55400	9548	2646	13480	4631	2894	51005	4853	4616	56465	41766
AGMAT	5881	1760	1889	7576	634	34	3436	247	100	1392	347	0	3537	171	323	10897	2389
AL121992.1	11003	1767	4962	16951	2533	0	1721	49	0	763	372	0	2471	1284	590	454	2807
DDI2	409881	102375	200671	404923	94244	14992	90744	11605	7401	39526	11998	515	166260	21742	15463	77359	104356
PLEKHM2	342401	128547	182315	308685	102097	21005	227007	17642	4440	96203	13923	1843	314697	35421	79888	113320	124340
AL450998.3	72	574	0	402	104	0	0	0	0	213	0	0	0	0	0	0	85
SLC25A34	10658	13568	4319	6457	3930	728	9590	381	368	7953	509	0	14442	1379	2923	2304	4969
SLC25A34-AS1	0	285	0	0	0	0	167	0	300	204	0	0	0	0	0	73	64
FBLIM1	314879	16137	225483	264939	123103	5753	58177	6605	26793	6615	2975	288	524446	9218	2925	48053	102274
UQCRHL	21891	8213	8110	10720	10692	2115	26719	665	278	2021	416	0	4637	3493	750	248015	21796
AL450998.2	105403	73025	47772	107226	27523	5877	37878	4225	2800	27687	7471	705	36460	17148	7370	26210	33424
SPEN	536653	221383	333888	477663	228028	27412	206895	36805	20002	134471	21421	5325	266660	55999	37001	164078	173355
ZBTB17	81113	32081	90577	96342	40502	7168	49305	6100	3129	35003	3208	1168	109544	9146	6476	40116	38186
SRARP	60	767	13	129	56	0	0	2094	0	0	0	191	0	0	0	21	208
HSPB7	970	2234	105	134	253	323	15976	39	5733	2946	149	363	668	2344	4553	381	2323
CLCNKA	24	303	0	122	116	0	668	0	0	0	0	0	26	262	0	724	140
CLCNKB	386	1337	1144	541	127	0	1479	0	0	1334	0	0	321	1199	213	187	517
FAM131C	7983	605	3902	11385	1907	0	2512	0	440	411	136	0	11351	97	605	0	2583
EPHA2	1810527	76346	1031296	1460929	298741	18413	52213	22648	15247	20904	15380	1697	2582229	60372	4014	1684	467040
AL451042.2	28209	747	9625	32436	4700	127	554	206	91	1562	195	0	17001	1449	98	0	6062
AL451042.1	11935	111	4537	8239	1593	74	341	108	0	0	55	0	4380	257	0	0	1977
ARHGEF19	115386	59553	64513	104361	71630	3290	29620	5152	260	30085	1400	663	94832	5071	7367	10529	37732
AL109627.1	6190	5843	4427	5085	2578	680	4203	408	0	1676	30	0	3066	3080	444	0	2357
CPLANE2	12518	6641	10146	15225	3881	1251	3424	795	0	5238	379	0	16616	1311	803	6132	5273
FBXO42	197471	71685	106723	216697	50172	10550	53062	8376	3134	40396	5297	872	104343	15388	8020	27160	57459
SZRD1	387567	148575	209515	464433	159798	36798	195503	26187	16872	122043	16758	2133	515302	35521	51219	319874	169256
SPATA21	1116	1578	196	3669	87	289	767	211	104	498	0	0	610	425	528	338	651
NECAP2	565322	132767	277118	814037	139642	50540	151479	32537	4474	175526	26359	1066	287876	24241	42647	81900	175471
LINC01772	8187	4032	4204	9798	2319	436	3161	299	51	4069	892	464	3034	558	934	1418	2741
