Cj	qSK	LSC-2	CE	LSC-1	Mel	CF	Ves	MC	SK	IC	nm-cSC	LE	EC	TSK	hnESC	average
TNFRSF4	12	25	0	4	7	0	25	59	1	0	36	0	3	1	1	36	13
SDF4	5527	3279	3726	5554	1691	340	3375	225	96	2169	141	19	6150	372	831	3165	2291
B3GALT6	898	300	369	763	296	52	1169	41	10	242	35	2	507	101	133	2115	439
C1QTNF12	85	10	53	30	67	1	146	4	0	0	2	0	82	7	17	846	84
UBE2J2	3884	1291	2309	4352	977	165	1909	103	59	1394	71	9	3977	221	429	3169	1519
LINC01786	7	7	3	11	2	0	11	0	0	0	2	0	0	0	0	4	2
SCNN1D	208	99	91	225	47	4	83	6	0	12	2	2	52	25	3	45	56
ACAP3	2800	507	2176	3338	539	89	830	45	23	168	49	4	1872	173	26	1553	887
PUSL1	2664	416	1518	2591	661	66	913	31	14	398	33	2	1834	87	126	2661	875
INTS11	3776	921	2335	3693	1023	188	1845	124	49	565	63	11	2930	273	235	2805	1302
CPTP	1835	400	1003	1909	320	54	689	79	10	379	17	1	1286	216	99	996	580
TAS1R3	9	0	9	20	4	0	6	0	0	0	2	0	11	3	0	3	4
DVL1	2259	631	1053	2949	397	64	1341	76	22	164	19	12	846	191	167	1951	758
MXRA8	81	2912	15	114	37	6	3695	11	73	1250	8	33	9	403	210	1352	638
AURKAIP1	10168	3010	5026	9691	2437	509	3873	288	157	2760	198	24	9006	621	1030	3689	3280
CCNL2	5037	1730	3040	4102	1649	176	2123	208	68	1221	131	13	2597	388	403	2954	1615
MRPL20-AS1	1092	250	566	948	220	58	596	31	8	178	18	2	489	53	67	0	286
MRPL20	9632	3102	4651	9556	2068	392	3429	282	153	2536	182	25	7731	411	838	3644	3039
AL391244.2	37	13	20	50	16	2	73	2	1	6	2	0	9	4	1	0	14
ANKRD65	1353	148	102	239	342	24	138	37	5	36	3	5	293	23	15	245	188
AL391244.1	5	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
LINC01770	39	0	0	3	10	0	0	2	0	0	0	1	2	0	0	11	4
VWA1	2512	210	249	984	708	78	247	211	12	47	11	44	843	23	17	2870	566
ATAD3C	502	206	187	1162	102	23	35	17	1	57	6	1	372	89	17	358	195
ATAD3B	1268	310	711	1103	409	56	540	41	7	330	37	3	867	92	123	3499	587
ATAD3A	1444	417	831	1585	375	97	766	40	23	346	21	3	1409	137	227	3095	676
TMEM240	40	110	31	19	72	31	434	5	25	38	0	2	19	59	9	189	67
SSU72	8731	2340	4515	7903	2563	495	3160	249	101	2236	182	21	8200	364	720	3688	2841
AL645728.1	378	136	200	339	156	38	141	11	5	102	21	0	318	84	43	966	183
FNDC10	807	30	244	558	89	72	125	10	2	0	11	0	223	44	0	2772	311
AL691432.4	95	0	19	53	18	3	2	1	0	0	0	0	20	0	0	0	13
AL691432.2	1099	158	457	881	296	68	278	23	7	67	16	5	875	65	16	491	300
MIB2	7661	806	4593	7625	2036	154	1506	93	41	408	80	6	6580	169	142	2844	2171
MMP23B	136	67	78	108	43	5	219	1	1	14	6	0	80	3	0	700	91
CDK11B	2041	1066	1341	2038	639	75	790	75	34	682	61	3	978	141	304	2052	770
FO704657.1	90	31	47	173	10	2	13	3	0	17	4	0	72	12	0	23	31
SLC35E2B	697	375	351	598	231	45	545	25	17	96	27	7	285	68	15	730	257
CDK11A	1973	1328	1341	1978	693	92	821	120	24	1046	69	4	1079	230	347	1023	760
SLC35E2A	295	241	310	314	108	23	260	14	8	46	8	1	181	52	5	234	131
NADK	2062	478	719	1839	348	68	922	62	31	295	32	3	1093	60	93	2510	663
GNB1	7081	2739	3318	6620	1798	428	2978	343	112	1600	245	28	4924	307	576	3385	2280
AL109917.1	75	5	57	132	25	2	12	2	0	0	0	0	76	7	0	24	26
CALML6	26	8	8	12	33	2	8	0	1	0	1	0	7	5	0	62	10
TMEM52	197	809	74	214	145	5	153	5	1	260	4	0	267	23	85	1949	261
CFAP74	36	7	46	58	3	2	8	1	0	0	1	0	20	0	0	284	29
AL391845.2	3	0	0	1	12	0	0	5	0	0	0	0	1	0	0	46	4
GABRD	37	4	16	31	51	2	5	7	3	0	0	0	44	0	0	845	65
PRKCZ	1937	66	1250	2072	431	60	42	32	1	27	21	2	1576	133	4	1968	601
AL590822.2	86	14	53	91	23	6	14	2	1	0	2	1	19	12	0	55	23
PRKCZ-AS1	28	24	22	17	15	2	17	0	2	6	0	0	10	6	0	20	10
FAAP20	5919	2171	3571	5273	1628	347	2602	203	111	1619	149	21	6958	511	469	3020	2160
SKI	2214	1224	1247	1831	914	102	1768	152	81	292	102	20	1040	242	82	880	761
AL590822.3	21	25	22	13	8	0	26	4	1	4	1	0	19	7	0	0	9
MORN1	352	112	241	330	76	13	140	9	5	37	4	3	258	48	23	411	128
AL513477.2	57	13	52	35	19	3	54	2	0	0	1	0	20	0	0	0	16
RER1	10051	2290	4814	9693	2151	373	3428	257	128	1357	171	28	8021	272	661	3513	2950
PEX10	1865	473	1136	1706	458	126	818	41	15	191	20	8	2289	115	101	1782	696
PLCH2	2449	23	1252	2337	446	32	20	19	3	8	20	1	1341	1	0	0	497
PANK4	1166	255	828	1453	274	48	583	20	14	112	14	8	379	101	33	423	356
HES5	4736	94	638	6599	128	36	50	60	22	19	35	2	246	16	2	16	793
AL139246.5	1981	135	117	3818	55	248	64	50	21	42	80	0	261	75	18	349	457
TNFRSF14-AS1	336	16	23	91	18	10	41	26	3	3	17	0	65	42	4	2	43
TNFRSF14	2802	628	1244	1821	596	467	921	180	39	221	144	14	1104	248	136	9	660
AL139246.3	31	5	3	10	7	1	15	6	1	5	0	0	0	22	1	0	6
PRXL2B	1153	468	527	1315	149	51	281	54	10	181	22	6	531	133	48	0	308
MMEL1	707	35	67	305	21	2	13	8	3	2	1	1	127	15	1	16	82
TTC34	43	31	30	24	17	1	103	2	0	1	4	0	12	18	2	20	19
PRDM16-DT	10	0	4	2	15	0	46	4	4	0	0	2	24	0	2	0	7
PRDM16	35	2	23	2	44	2	68	3	3	0	1	5	37	0	0	24	15
AL354743.2	3	0	0	2	1	0	2	1	0	0	0	0	0	0	0	0	0
ARHGEF16	2553	14	834	2376	235	11	12	16	3	6	13	3	979	177	1	2036	579
AL512413.1	64	0	17	25	4	0	1	0	0	0	0	0	8	6	0	10	8
MEGF6	979	1447	745	753	353	46	762	74	5	236	19	10	261	68	54	172	374
AL513320.1	20	7	17	21	3	0	22	0	0	0	2	0	0	0	0	11	6
TPRG1L	3342	1467	2331	4335	800	148	1014	108	35	1119	55	7	1890	292	411	1347	1168
WRAP73	1780	501	1205	2018	413	58	1074	42	17	406	30	6	870	110	130	1785	652
TP73	398	12	935	459	1043	26	9	2	1	0	2	1	420	0	1	92	212
CCDC27	3	2	0	6	0	0	0	0	0	0	0	1	0	0	0	4	1
SMIM1	1002	305	792	739	243	98	367	9	3	108	10	0	1101	184	23	478	341
LRRC47	2483	644	1533	2281	813	144	1086	60	25	420	37	7	2287	142	139	3162	953
AL365330.1	2	12	8	4	4	1	8	0	0	0	1	0	4	7	0	3	3
CEP104	1780	518	1197	1721	528	78	1028	42	21	348	40	4	907	99	159	1604	629
DFFB	183	103	168	179	105	15	170	4	4	44	7	0	60	14	11	638	106
C1orf174	2226	703	1667	2430	703	83	1087	64	15	852	40	6	1408	109	156	2680	889
LINC01134	47	4	40	62	4	0	47	0	0	3	1	0	67	2	0	16	18
AL805961.1	13	4	5	16	1	0	3	0	0	0	0	0	0	0	0	0	2
AJAP1	417	1	304	91	209	9	10	7	9	1	1	28	279	399	1	37	112
Z98886.1	15	1	5	10	2	1	3	0	0	0	2	0	5	1	0	0	2
NPHP4	261	145	210	438	85	34	273	18	6	59	14	2	94	137	17	517	144
KCNAB2	156	109	312	171	116	497	234	10	5	53	88	1	193	183	30	208	147
CHD5	4	0	1	0	4	0	4	0	3	3	0	0	0	3	1	51	4
RPL22	11782	5525	6362	10794	4254	824	5492	681	291	4094	502	73	11251	732	1405	3811	4242
AL031847.1	98	2	48	100	8	1	11	4	0	0	1	0	75	3	0	43	24
RNF207	1160	52	784	1280	229	16	229	11	4	2	16	3	360	34	13	896	318
ICMT	2546	767	1379	3855	262	74	1284	106	46	325	38	4	1349	151	167	2884	952
LINC00337	25	4	9	94	4	0	2	0	1	0	1	0	12	2	0	1083	77
GPR153	956	450	415	1406	75	40	459	4	9	159	8	3	595	0	27	1012	351
ACOT7	1732	537	992	1707	279	146	854	40	12	254	32	8	1438	102	63	2856	690
AL031848.2	338	31	136	527	38	10	22	6	1	12	5	1	241	5	5	74	90
HES2	5168	50	1637	5683	307	39	62	35	4	19	27	1	2593	5	4	1428	1066
ESPN	966	7	233	749	78	9	19	2	0	1	6	10	466	1	1	555	193
TNFRSF25	1222	246	789	739	312	13	90	35	0	92	29	2	747	271	12	1475	379
PLEKHG5	1440	219	897	1595	254	24	106	28	1	70	10	0	1094	219	13	826	424
NOL9	960	507	787	954	425	50	764	68	21	401	33	3	1397	104	163	2102	546
TAS1R1	8	474	3	12	3	0	11	0	1	94	3	1	7	7	5	32	41
ZBTB48	1513	320	768	1569	369	30	464	34	16	130	36	4	442	105	33	952	424
KLHL21	5032	1440	3135	4784	1280	235	1277	102	33	652	121	17	7600	191	449	1051	1712
PHF13	2362	489	1801	2533	802	78	637	60	25	397	26	9	1545	326	97	915	756
THAP3	1392	612	931	1455	369	65	1210	33	14	564	18	3	775	118	179	1456	574
DNAJC11	1208	338	590	1255	272	46	597	47	13	169	31	2	517	125	95	2872	511
LINC01672	2	2	0	7	1	0	2	0	0	0	0	0	0	13	0	8	2
AL591163.1	22	7	2	39	3	2	3	0	0	0	2	0	0	0	0	6	5
CAMTA1-DT	166	12	50	159	21	5	10	2	1	3	3	1	77	13	0	26	34
CAMTA1	9159	2792	4909	8860	2691	504	3121	312	158	2933	164	40	9360	361	720	3456	3096
CAMTA1-IT1	21	2	5	36	4	0	3	1	0	0	1	0	27	3	0	0	6
VAMP3	6396	1041	3515	5991	1632	377	2267	287	126	734	142	22	6623	161	539	2316	2010
Z98884.2	25	2	8	33	4	2	5	0	0	0	0	0	4	0	1	0	5
PER3	3111	1478	2947	3594	837	106	603	88	23	732	60	23	2295	298	287	680	1072
Z98884.1	0	3	0	0	1	0	5	0	0	0	0	0	0	0	0	98	6
UTS2	3	5	5	7	1	0	0	0	0	6	1	0	6	0	0	0	2
TNFRSF9	7	23	3	2	8	0	20	2	0	22	28	0	4	5	6	0	8
PARK7	10549	4477	5872	9775	3369	666	4629	425	224	3641	305	44	9900	575	1155	3576	3698
AL034417.4	72	99	32	61	25	6	22	2	1	26	1	0	20	2	1	60	26
AL034417.3	327	223	64	168	102	13	71	6	4	34	2	1	96	17	7	23	72
ERRFI1	5614	2816	3707	5955	1995	120	1707	134	54	2645	74	32	7684	468	314	1508	2176
AL034417.2	6	15	4	5	4	0	28	2	3	3	2	0	0	14	0	5	5
SLC45A1	29	95	68	40	31	1	263	7	11	28	1	2	60	36	3	6	42
RERE	4437	1991	3237	4555	1115	98	1554	216	73	1215	103	17	2597	445	191	2261	1506
RERE-AS1	40	26	5	18	7	0	12	3	0	6	3	0	14	11	2	0	9
ENO1	11674	5589	6619	10882	3960	544	4993	523	200	4047	399	51	11186	808	1337	3576	4149
ENO1-AS1	156	43	133	235	57	1	44	7	2	10	2	1	126	17	0	101	58
CA6	411	11	282	1869	13	2	0	4	1	13	4	1	102	0	0	9	170
SLC2A5	370	10	1083	202	123	13	60	7	3	6	39	0	790	4	15	121	177
GPR157	1497	281	498	1477	224	16	439	25	7	114	29	3	499	71	35	216	339
MIR34AHG	387	77	65	161	23	8	686	7	6	93	17	1	17	36	16	484	130
LNCTAM34A	579	40	344	285	98	12	472	3	3	22	1	1	287	34	10	0	136
H6PD	826	560	324	453	421	57	1783	91	23	74	17	6	278	51	59	253	329
SPSB1	2985	919	1514	2411	737	156	1122	118	22	1430	33	3	5512	71	318	610	1122
LINC02606	23	54	17	44	6	6	69	5	4	0	0	0	4	0	0	0	14
SLC25A33	4081	1724	2935	3448	1650	280	1070	105	57	1681	139	29	6781	309	499	2818	1725
TMEM201	368	185	328	292	149	34	271	20	7	68	9	4	395	116	25	955	201
PIK3CD	247	289	494	523	83	69	516	13	2	235	45	1	820	139	27	298	237
PIK3CD-AS2	491	573	945	891	655	205	760	13	12	278	9	2	908	103	85	760	418
CLSTN1	7053	2001	4874	7173	2767	269	2320	189	59	651	114	26	6182	285	224	2249	2277
CTNNBIP1	5160	649	3314	6404	1434	193	889	79	18	326	68	7	6033	201	110	2435	1707
AL357140.1	3	20	0	2	0	1	0	0	0	10	0	0	0	0	0	0	2
LZIC	3934	1248	2399	4827	987	160	1513	108	47	1202	67	21	2913	248	364	2539	1411
AL357140.2	64	13	23	79	9	4	2	3	0	0	1	0	46	3	0	0	15
NMNAT1	754	210	341	846	141	37	493	24	8	115	7	3	188	42	50	593	240
RBP7	204	13	35	53	177	163	39	254	1	5	6	6	267	184	6	1361	173
UBE4B	1988	460	1358	1804	655	105	1055	74	17	191	36	12	1181	79	82	1599	668
KIF1B	2098	1366	1190	1733	682	172	1830	122	57	853	84	32	1282	242	327	1931	875
AL139424.3	47	25	30	40	19	4	15	3	1	13	0	1	46	1	0	21	16
AL139424.2	49	18	20	42	17	1	18	1	0	6	1	0	25	6	3	13	13
PGD	7919	828	4042	8495	1046	153	2083	101	32	479	125	12	6167	274	355	3317	2214
CENPS	1347	662	1345	1499	309	19	566	27	8	458	16	1	1402	109	96	2140	625
CORT	172	76	182	185	33	1	67	4	0	33	1	0	129	13	11	54	60
DFFA	2824	608	1807	2790	871	122	1442	104	34	672	29	8	2402	126	185	3221	1077
AL354956.1	9	7	5	9	5	0	9	0	0	0	0	0	0	0	0	14	3
PEX14	1402	358	831	1318	382	50	430	29	11	252	18	1	685	43	66	1273	446
AL139423.2	11	1	2	0	4	0	0	0	0	2	0	0	0	0	0	0	1
CASZ1	2223	30	1155	1637	777	32	30	53	7	17	22	2	598	15	7	128	420
AL139423.1	18	2	5	14	6	1	0	0	0	0	0	0	5	0	0	0	3
TARDBP	5318	1531	3579	5402	1966	229	1820	187	70	1083	135	21	4429	278	317	2852	1826
AL109811.2	383	213	241	303	213	29	376	19	6	84	14	3	504	21	30	297	171
SRM	3274	2463	2341	3530	749	308	3439	162	67	2085	84	22	5179	355	825	3519	1775
EXOSC10	1958	691	1737	2268	514	110	1170	68	26	339	53	10	1348	143	105	2064	787
AL109811.1	12	8	11	17	7	2	23	4	1	0	1	0	0	0	0	39	7
EXOSC10-AS1	49	49	27	59	6	4	56	1	0	15	0	0	58	6	5	0	20
MTOR	1049	537	520	1349	178	40	752	36	10	214	30	5	399	139	117	2486	491
MTOR-AS1	2	59	4	1	0	0	7	0	0	18	0	0	4	1	1	0	6
ANGPTL7	1563	5629	4399	3392	246	62	908	94	43	3993	78	14	1360	80	19	0	1367
UBIAD1	1221	419	598	1166	391	71	755	41	25	450	21	3	1408	62	165	1901	543
AL031291.1	47	0	49	43	57	1	0	0	0	0	0	0	45	0	0	5	15
DISP3	1	1	0	0	3	0	3	0	0	0	0	0	0	0	0	115	7
AL031731.1	23	6	17	18	12	0	14	1	0	0	1	1	0	8	5	11	7
FBXO2	3429	909	1966	3370	1697	79	1202	39	4	377	32	1	2753	425	453	1707	1152
FBXO44	1430	373	1154	1401	722	92	710	27	11	156	23	0	935	155	44	1110	521
FBXO6	1156	140	261	1052	157	66	308	18	3	110	15	3	480	28	51	1635	342
MAD2L2	1691	652	1315	1375	756	209	1518	117	37	743	48	6	2353	73	380	3116	899
DRAXIN	16	11	6	15	4	3	23	1	0	0	4	0	2	0	0	601	42
AGTRAP	3394	534	1894	2865	837	222	2019	163	25	323	72	17	3007	103	266	3039	1173
C1orf167	303	24	163	216	21	2	46	11	7	2	7	1	138	6	4	476	89
MTHFR	1633	284	496	1083	425	48	646	92	48	65	82	15	651	228	35	1228	441
CLCN6	597	321	423	756	178	54	438	63	22	124	32	12	200	123	61	795	262
AL021155.5	717	296	499	513	209	38	152	44	15	143	87	6	401	315	25	0	216
KIAA2013	3203	758	1106	3022	457	124	1783	88	28	214	73	5	1268	133	107	2805	948
PLOD1	555	1881	891	810	275	99	2363	56	34	341	26	4	1143	295	216	2007	687
AL096840.2	122	7	188	92	34	5	6	5	1	0	1	2	225	14	0	0	43
MFN2	2772	668	1951	3303	797	101	765	83	30	266	50	2	1983	235	105	2251	960
MIIP	1063	439	770	1561	289	73	625	41	28	321	40	22	1249	57	133	3318	626
TNFRSF8	0	0	1	0	1	0	4	6	0	0	4	1	0	0	0	1542	97
TNFRSF1B	112	79	23	105	17	4	880	178	30	69	255	4	20	0	269	24	129
VPS13D	2963	805	1630	3019	855	77	1048	98	38	287	69	9	1000	146	115	1087	827
LINC02766	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DHRS3	7391	933	4031	5496	2215	87	945	64	18	342	116	26	6074	134	126	1112	1819
AC254633.1	111	54	40	87	25	2	15	1	0	11	3	1	53	27	1	10	27
LRRC38	1	14	0	2	1	0	22	3	0	30	0	0	7	7	5	18	6
PDPN	262	1317	1867	156	461	26	3916	66	4	1059	18	3	1036	277	670	3077	888
PRDM2	6186	1674	3380	6149	1699	202	1727	170	50	1316	167	21	3871	374	487	1361	1802
KAZN	5883	304	2398	4765	1262	298	685	89	29	265	38	2	1976	286	53	2305	1289
AL357873.1	34	0	217	27	67	11	11	0	0	0	0	0	293	0	0	0	41
AL031293.1	849	5	303	523	130	4	22	2	0	0	3	0	90	2	0	0	120
TMEM51-AS1	510	53	116	301	60	6	23	1	2	17	7	0	143	3	0	942	136
TMEM51	3171	266	1129	2572	485	166	401	34	23	399	52	3	3331	0	47	2022	881
FHAD1	26	102	34	38	7	1	109	6	10	110	11	0	31	12	10	37	34
AL031283.2	11	1	7	13	0	0	2	1	1	0	3	0	0	8	0	7	3
AL031283.1	19	3	11	6	3	0	3	4	0	0	3	0	8	23	2	7	5
EFHD2	7988	902	4379	8526	1524	173	1489	227	44	1050	287	7	8488	207	481	3227	2437
CTRC	119	13	35	36	24	2	11	1	0	22	4	0	215	3	4	0	30
CELA2A	13	0	9	2	4	0	0	0	0	0	0	0	44	0	0	0	4
CASP9	982	256	630	1422	195	26	203	25	5	95	20	6	568	55	12	1075	348
DNAJC16	1859	355	996	2008	315	36	840	51	14	108	32	9	581	35	37	1543	551
AGMAT	99	17	31	121	8	1	52	2	1	11	3	0	41	3	3	449	52
AL121992.1	160	12	57	223	29	0	16	1	0	6	2	0	33	10	5	19	35
DDI2	4222	720	1963	4194	777	113	1029	91	41	303	73	5	1725	136	111	1863	1085
PLEKHM2	3800	952	1756	3535	842	137	1942	113	24	700	81	9	3029	212	487	2303	1245
AL450998.3	2	3	0	4	2	0	0	0	0	3	0	0	0	0	0	0	0
SLC25A34	161	97	49	100	45	6	54	2	2	62	6	0	178	7	19	66	53
SLC25A34-AS1	0	4	0	0	0	0	4	0	2	1	0	0	0	0	0	4	0
FBLIM1	3307	155	2159	3042	902	58	715	39	116	43	23	1	4334	58	24	1263	1014
UQCRHL	392	70	135	180	123	16	609	4	2	19	3	0	58	21	6	2698	271
AL450998.2	1425	600	652	1469	257	38	511	38	13	205	45	3	424	131	44	856	419
SPEN	4935	1408	2818	4605	1532	168	1986	199	108	922	114	21	2587	267	236	2603	1531
ZBTB17	1144	285	1064	1385	353	51	734	46	16	272	24	4	1212	68	48	1190	493
SRARP	2	4	1	3	2	0	0	3	0	0	0	1	0	0	0	2	1
HSPB7	12	24	3	3	3	2	172	1	30	24	1	2	9	19	30	14	21
CLCNKA	1	5	0	3	2	0	8	0	0	0	0	0	1	2	0	24	2
CLCNKB	2	13	15	10	2	0	9	0	0	9	0	0	4	15	1	9	5
FAM131C	122	5	57	178	16	0	24	0	2	1	1	0	133	1	4	0	34
EPHA2	7752	516	4647	7168	1558	105	690	126	66	139	63	6	9215	253	32	56	2024
AL451042.2	382	8	133	463	48	2	6	3	1	11	3	0	197	13	1	0	79
AL451042.1	209	1	65	120	25	2	5	2	0	0	1	0	57	1	0	0	30
ARHGEF19	1566	500	796	1411	602	30	395	35	3	231	9	3	1046	33	57	444	447
AL109627.1	95	61	50	83	24	4	52	1	0	10	1	0	32	16	4	0	27
CPLANE2	205	70	141	250	34	11	77	6	0	45	3	0	203	16	6	253	82
FBXO42	2402	556	1175	2690	438	78	714	65	17	317	33	3	1128	97	62	809	661
SZRD1	4273	1077	2229	4876	1217	224	1975	155	85	866	110	9	4451	237	337	3178	1581
SPATA21	14	14	2	48	1	2	11	3	1	7	0	0	7	7	4	18	8
NECAP2	5483	993	2717	6547	1070	264	1635	187	32	1154	140	5	2728	176	287	1999	1588
LINC01772	128	44	59	156	32	6	62	2	1	29	5	2	35	6	8	46	38
AL137802.2	278	36	116	479	25	10	58	5	1	17	4	1	76	10	1	66	73
LINC01783	0	4	0	0	0	0	2	1	0	0	0	0	0	3	0	4	0
NBPF1	494	235	340	478	166	39	371	14	4	136	10	0	216	36	8	670	201
CROCC	354	205	462	374	161	36	456	25	14	44	19	3	221	49	13	399	177
BX284668.2	1	4	0	0	0	0	3	0	2	0	0	0	0	2	0	4	1
BX284668.5	2755	872	1405	1575	616	142	638	102	28	345	36	16	2688	96	39	488	740
BX284668.6	405	44	240	309	119	13	47	24	8	14	7	3	83	36	3	90	90
MFAP2	50	1162	9	25	183	124	1843	18	6	636	0	0	141	18	83	1062	335
ATP13A2	940	205	293	611	181	42	672	44	6	134	26	3	341	47	37	2378	372
SDHB	6405	2086	3521	6647	1408	335	2596	144	83	1901	133	21	4785	370	653	3199	2142
PADI2	49	2	0	17	1	3	10	0	1	0	46	0	0	3	0	9	8
LINC02783	46	6	1	3	2	0	64	0	0	0	0	0	1	0	0	0	7
AL590644.1	173	1	1	16	1	0	1	0	0	0	0	0	0	0	0	6	12
PADI1	1096	10	6	289	3	1	31	3	1	1	6	1	13	0	0	0	91
PADI3	40	0	154	45	3	0	14	0	0	0	0	0	57	0	0	0	19
RCC2-AS1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RCC2	3619	679	2257	4222	627	111	1121	80	13	316	115	3	1713	134	139	3281	1151
ARHGEF10L	1021	208	236	895	53	49	368	2	18	98	33	10	200	69	33	215	219
IGSF21	6	22	1	3	0	0	1	0	1	6	84	0	0	0	0	0	7
KLHDC7A	55	0	0	5	0	0	1	0	0	0	0	0	0	17	0	9	5
PAX7	0	10	0	3	0	0	1	0	0	12	0	0	0	0	0	0	1
ALDH4A1	195	81	316	171	313	30	123	12	8	53	4	5	395	24	14	1580	207
IFFO2	1559	363	1067	1288	1256	68	233	36	21	79	54	13	1130	105	27	163	466
AL137127.1	30	21	31	40	12	1	25	0	0	15	1	0	38	3	5	0	13
UBR4	1303	684	822	1703	367	59	1004	51	23	282	48	3	613	115	117	2296	593
EMC1-AS1	444	338	277	316	139	11	536	9	2	408	11	3	374	29	77	0	185
EMC1	1170	786	804	1292	418	57	1294	49	22	298	23	12	769	96	163	1795	565
MRTO4	3221	961	2022	3569	1045	142	1995	105	38	1071	51	7	2627	137	650	3326	1310
AKR7A3	77	12	45	57	22	5	43	4	1	8	1	0	26	3	2	86	24
AKR7A2	4931	1410	2978	5363	1029	306	2386	105	66	980	80	18	4957	226	117	2625	1723
SLC66A1	724	198	563	818	156	31	596	23	7	189	17	2	682	30	100	0	258
CAPZB	9220	2404	4800	8741	2321	495	3539	371	163	1910	299	26	8344	342	616	3517	2944
MICOS10	10442	3946	5846	10199	2587	524	4163	340	205	3447	267	23	9690	596	1048	0	3332
NBL1	7570	3223	4793	5771	2444	158	3373	247	184	2114	75	1	7880	219	406	1297	2484
TMCO4	1917	224	1119	2132	325	46	290	28	12	84	22	4	931	89	53	741	501
OTUD3	832	543	976	1414	262	46	373	21	10	369	15	3	821	50	96	797	414
PLA2G2A	256	511	11	108	20	8	605	12	2	184	7	1	322	0	56	9	132
PLA2G5	9	1563	0	28	4	1	121	1	3	849	3	1	1	141	5	0	170
PLA2G2F	78	0	7	133	2	0	0	0	0	0	0	0	27	0	0	0	15
UBXN10-AS1	104	69	55	156	3	2	7	5	0	36	4	0	47	10	1	14	32
UBXN10	201	35	160	571	1	11	20	5	1	13	3	0	67	9	1	26	70
LINC01141	0	5	1	0	0	0	0	0	0	3	1	0	0	0	0	0	0
CAMK2N1	6306	1947	5790	10148	738	227	2601	93	89	1173	75	8	8156	193	600	269	2400
MUL1	1547	596	1340	2301	393	118	705	35	13	441	26	2	2159	144	125	1731	729
FAM43B	0	137	1	2	0	0	376	0	0	71	0	0	0	71	14	133	50
CDA	31	14	20	38	2	0	125	79	0	7	7	0	74	0	0	3053	215
PINK1	3904	1692	1948	5300	642	202	2142	140	68	852	65	16	3087	358	379	3302	1506
PINK1-AS	66	54	52	115	33	3	52	1	2	18	5	0	53	10	7	62	33
DDOST	5262	2167	3281	5320	1767	311	2917	230	61	1329	157	15	4439	160	473	3427	1957
KIF17	3	0	0	2	1	0	10	60	1	3	4	0	0	0	1	523	38
SH2D5	21	8	4	3	15	1	39	0	0	21	1	0	157	6	55	165	31
HP1BP3	8187	3122	4251	8171	2307	382	3224	340	156	2472	223	28	5015	421	769	2869	2621
EIF4G3	3311	1253	1863	3736	784	102	2106	157	60	614	88	5	1382	210	189	1704	1097
AL031005.2	14	1	6	5	0	0	8	2	0	0	0	1	0	0	0	0	2
ECE1	1931	526	684	2202	379	24	2084	299	67	197	29	21	779	45	106	1089	653
AL031728.1	23	0	6	18	1	0	8	0	0	4	0	0	4	0	0	3	4
